name,type,category,display_name,visibility,access_mode,description,min,max,inc,enum_values
ColorTransformationValue_Reg,IntReg,,ColorTransformationValue_Reg,,RW,,,,,
ColorTransformationValue_RegAddr,Integer,,ColorTransformationValue_RegAddr,,,,,,,
CorrectFlag_RegAddr,Integer,,CorrectFlag_RegAddr,,,,,,,
CorrectVersionSelector_Reg,IntReg,,CorrectVersionSelector_Reg,,RW,,,,,
CorrectVersionSelector_RegAddr,Integer,,CorrectVersionSelector_RegAddr,,,,,,,
CounterAndTimerInq_RegAddr,Integer,,CounterAndTimerInq_RegAddr,,,,,,,
CounterCurrentValue_Reg,IntReg,,CounterCurrentValue_Reg,,RO,,,,,
CounterCurrentValue_RegAddr,Integer,,CounterCurrentValue_RegAddr,,,,,,,
CounterEventActivationInq_RegAddr,Integer,,CounterEventActivationInq_RegAddr,,,,,,,
CounterEventSourceInq_RegAddr,Integer,,CounterEventSourceInq_RegAddr,,,,,,,
CounterEventSource_Reg,IntReg,,CounterEventSource_Reg,,RW,,,,,
CounterEventSource_RegAddr,Integer,,CounterEventSource_RegAddr,,,,,,,
CounterResetActivationInq_RegAddr,Integer,,CounterResetActivationInq_RegAddr,,,,,,,
CounterResetAvail_Int,IntSwissKnife,,CounterResetAvail_Int,,,,,,,
CounterResetSelectorRegOffsetAddress,IntSwissKnife,,CounterResetSelectorRegOffsetAddress,,,,,,,
CounterResetSourceInq_RegAddr,Integer,,CounterResetSourceInq_RegAddr,,,,,,,
CounterResetSource_Reg,IntReg,,CounterResetSource_Reg,,RW,,,,,
CounterResetSource_RegAddr,Integer,,CounterResetSource_RegAddr,,,,,,,
CounterReset_Int,IntSwissKnife,,CounterReset_Int,,,,,,,
CounterReset_Reg,IntReg,,CounterReset_Reg,,WO,,,,,
CounterReset_RegAddr,Integer,,CounterReset_RegAddr,,,,,,,
CounterSelectorInq_RegAddr,Integer,,CounterSelectorInq_RegAddr,,,,,,,
CounterSelector_Int,Integer,,CounterSelector_Int,,,,,,,
CounterValueAtReset_Reg,IntReg,,CounterValueAtReset_Reg,,RO,,,,,
CounterValueAtReset_RegAddr,Integer,,CounterValueAtReset_RegAddr,,,,,,,
CounterValueIncInq_Reg,IntReg,,CounterValueIncInq_Reg,,RO,,,,,
CounterValueIncInq_RegAddr,Integer,,CounterValueIncInq_RegAddr,,,,,,,
CounterValueMaxInq_Reg,IntReg,,CounterValueMaxInq_Reg,,RO,,,,,
